epoch,train_loss_total,dev_loss_total,train_loss_stage1,dev_loss_stage1,train_loss_stage2,dev_loss_stage2,train_loss_stage3,dev_loss_stage3,dev_stage1_precision_at_0_5,dev_stage1_recall_at_0_5,dev_stage2_mIoU,dev_stage3_acc,dev_stage3_matched_acc,dev_stage3_episode_acc,dev_pred_items_per_image,dev_latency_total_ms,dev_combined
1,4.482844452063243,4.015261352062225,2.0762882133324942,1.7542212357123692,1.080426017443339,0.879400372505188,1.2442287902037303,1.2142266184091568,0.7727272727272727,0.7727272727272727,0.5406237426117472,0.2727272727272727,0.35294117647058826,0.5,1.8333333333333333,3203.1691666666666,1.5860782880662925
2,3.510485132535299,3.8592900236447654,1.7630723516146343,1.6372248828411102,1.01081682741642,0.8763000021378199,0.8280029296875,1.1892767995595932,0.782608695652174,0.8181818181818182,0.5606476442354746,0.3181818181818182,0.3888888888888889,0.5909090909090909,1.9166666666666667,3232.9441666666667,1.697011280599111
3,3.034449358781179,3.6889960169792175,1.6307739317417145,1.5261116176843643,1.000130295753479,0.8698565562566122,0.6024068196614584,1.1519707565506299,0.6923076923076923,0.8181818181818182,0.5453095765427108,0.3181818181818182,0.3888888888888889,0.6363636363636364,2.1666666666666665,3520.4383333333335,1.6816732129063472
4,3.3251451353232064,3.572991112867991,1.4827073067426682,1.4633111606041591,1.0456951409578323,0.8636876891056696,0.8797268321116766,1.1185574010014534,0.7916666666666666,0.8636363636363636,0.5883120770816657,0.4090909090909091,0.47368421052631576,0.6363636363636364,2.0,3255.6200000000003,1.8610393498089386
5,3.202126363913218,3.4923943281173706,1.4356683293978374,1.4148976306120555,1.101570521791776,0.8578335791826248,0.810448537270228,1.0990532785654068,0.7727272727272727,0.7727272727272727,0.5197416311129753,0.36363636363636365,0.47058823529411764,0.6363636363636364,1.8333333333333333,2933.633333333333,1.6561052674766117
6,3.9533804555734,3.444594591856003,1.444581722219785,1.3798510978619258,0.9427225987116495,0.8523467183113098,1.3582916259765625,1.0923800989985466,0.7391304347826086,0.7727272727272727,0.5171230482283933,0.36363636363636365,0.47058823529411764,0.6363636363636364,1.9166666666666667,2969.2016666666664,1.6534866845920297
7,2.641156176726023,3.3962372144063315,1.0526593575874965,1.3535575916369755,1.0568866084019344,0.8470374246438345,0.7067023366689682,1.0794406458735466,0.7391304347826086,0.7727272727272727,0.5176110931821909,0.36363636363636365,0.47058823529411764,0.6363636363636364,1.9166666666666667,2976.1766666666663,1.6539747295458271
8,3.282820006211599,3.3630670507748923,1.5559269438187282,1.3309525325894356,1.0302021155754726,0.8415116866429647,0.807861328125,1.0742390925685565,0.7391304347826086,0.7727272727272727,0.5179873721908521,0.3181818181818182,0.4117647058823529,0.6363636363636364,1.9166666666666667,2994.2175,1.608896463099943
9,2.391846706469854,3.3430947363376617,1.375512609879176,1.3111671283841133,1.097243383526802,0.8368043849865595,0.3118082682291667,1.07568359375,0.7391304347826086,0.7727272727272727,0.5191644142502952,0.36363636363636365,0.47058823529411764,0.6363636363636364,1.9166666666666667,3049.9183333333335,1.6555280506139316
10,2.890851527452469,3.325965921084086,1.3119326780239742,1.2913912559549015,1.0608069896697998,0.8326176951328913,0.6990102132161459,1.0788438605765502,0.7391304347826086,0.7727272727272727,0.5193730718498052,0.4090909090909091,0.5294117647058824,0.6363636363636364,1.9166666666666667,3012.693333333333,1.7011912536679872
